Nombre,MaxDepth,Acc_media,Acc_std,TrainAcc_media,TrainAcc_std,F1_media,F1_std,ErrorRate_med,ErrorRate_std
DT max_depth=1,1,0.1288,0.0014,0.1288,0.0002,0.0326,0.0003,0.8712,0.0014
DT max_depth=2,2,0.1288,0.0014,0.1288,0.0002,0.0326,0.0003,0.8712,0.0014
DT max_depth=4,4,0.1288,0.0014,0.1288,0.0002,0.0326,0.0003,0.8712,0.0014
DT max_depth=6,6,0.1288,0.0014,0.1288,0.0002,0.0326,0.0003,0.8712,0.0014
DT max_depth=8,8,0.1288,0.0014,0.1288,0.0002,0.0326,0.0003,0.8712,0.0014
DT max_depth=12,12,0.1288,0.0014,0.1288,0.0002,0.0326,0.0003,0.8712,0.0014
DT max_depth=16,16,0.1288,0.0014,0.1288,0.0002,0.0326,0.0003,0.8712,0.0014
